115,FAT,Fresno Yosemite International,Fresno,CA
116,FCA,Glacier Park Intl,Kalispell,MT
117,FLG,Flagstaff Pulliam,Flagstaff,AZ
118,FNT,Bishop,Flint,MI
119,FSD,Joe Foss ,Sioux Falls,SD
120,FWA,Fort Wayne International,Fort Wayne,IN
121,GCC,Gillette-Campbell County,Gillette,WY
122,GJT,Walker ,Grand Junction,CO
123,GPT,Gulfport-Biloxi Regional,Gulfport-Biloxi,MS
124,GRB,Austin Straubel International,Green Bay,WI
125,GRR,Kent County International,Grand Rapids,MI
126,GSP,Greenville-Spartanburg,Greer,SC
127,GTF,Great Falls Intl,Great Falls,MT
128,GUC,Gunnison County,Gunnison,CO
129,GUM,Guam International,Agana,GU
130,HDN,Yampa Valley,Hayden,CO
131,HLN,Helena Regional,Helena,MT
132,HOB,Lea County Regional,Hobbs,NM
133,HRL,Valley International,Harlingen,TX
134,HSV,Huntsville International ,Huntsville,AL
135,HYS,Hays Municipal,Hays,KS
136,ICT,Wichita Mid-Continent,Wichita,KS
137,IDA,Idaho Falls Regional,Idaho Falls,ID
138,ILM,Wilmington International,Wilmington,NC
139,ITH,Tompkins Cty ,Ithaca,NY
140,ITO,Hilo International,Hilo,HI
141,JAC,Jackson Hole,Jackson,WY
142,JAN,Jackson International,Jackson,MS
143,JMS,Jamestown Municipal,Jamestown,ND
144,KOA,Kona International At Keahole,Kailua Kona,HI
145,LAR,Laramie Regional,Laramie,WY
146,LCH,Lake Charles Regional,Lake Charles,LA
147,LEX,Blue Grass ,Lexington,KY
148,LFT,Lafayette Regional,Lafayette,LA
149,LIH,Lihue,Lihue,HI
150,LNK,Lincoln Municipal,Lincoln,NE
151,LRD,Laredo International,Laredo,TX
152,LWB,Greenbrier Valley,Lewisburg,WV
153,LWS,Lewiston-Nez Perce County,Lewiston,ID
154,MAF,Midland International,Midland,TX
155,MBS,Mbs International,Saginaw,MI
156,MDT,Harrisburg Intl,Harrisburg,PA
157,MEI,Key ,Meridian,MS
158,MFE,McAllen Miller International,McAllen,TX
159,MFR,Rogue Valley International,Medford,OR
160,MHT,Manchester,Manchester,NH
161,MKG,Muskegon County,Muskegon,MI
162,MLI,Quad City,Moline,IL
163,MOB,Mobile Regional,Mobile,AL
164,MOT,Minot International,Minot,ND
165,MRY,Monterey Peninsula,Monterey,CA
166,MSN,Dane County Regional,Madison,WI
167,MSO,Missoula International,Missoula,MT
168,MTJ,Montrose Regional,Montrose,CO
169,MYR,Myrtle Beach International,Myrtle Beach,SC
170,OTH,North Bend Muni,North Bend,OR
171,PAH,Barkley Regional,Paducah,KY
172,PIA,Greater Peoria Regional,Peoria,IL
173,PIB,Hattiesburg-Laurel Regional,Hattiesburg-Laurel,MS
174,PNS,Pensacola Regional,Pensacola,FL
175,PSC,Tri-Cities,Pasco,WA
176,PSP,Palm Springs International,Palm Springs,CA
177,PUB,Pueblo Memorial,Pueblo,CO
178,PWM,Portland International Jetport,Portland,ME
179,RAP,Rapid City Regional,Rapid City,SD
180,RDD,Redding Municipal,Redding,CA
181,RDM,Roberts ,Redmond,OR
182,RKS,Rock Springs-Sweetwater County,Rock Springs,WY
183,ROA,Roanoke Regional  Woodrum ,Roanoke,VA
184,ROC,Greater Rochester Int'l,Rochester,NY
185,SAF,Santa Fe Municipal,Santa Fe,NM
186,SAV,Savannah International,Savannah,GA
187,SBA,Santa Barbara Municipal,Santa Barbara,CA
188,SBN,South Bend Regional,South Bend,IN
189,SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA
190,SCE,University Park,,
191,SGF,Springfield-Branson Regional,Springfield,MO
